,Total Channel Subcribers,Total Chanel Views,No of Likes,Hashtags,No of Videos the Channel,Community Engagement (Posts per week),Creator Gender_Female,Creator Gender_Male,Creator Gender_Org,Language of the Video_Arabic,Language of the Video_English,Language of the Video_English + Hindi,Language of the Video_Hindi,Language of the Video_Hindi/English,Language of the Video_Italian,Language of the Video_Japenese,Language of the Video_Kannada,Language of the Video_Konkani,Language of the Video_Malayalam,Language of the Video_Mongalian,Language of the Video_Nawayathi,Language of the Video_Punjabi,Language of the Video_Russian,Language of the Video_Sanskrit,Language of the Video_Tamil,Language of the Video_Telugu,Language of the Video_Urdu,Language of the Video_Urdu + Arabic,Video Description_No,Video Description_Yes,Video Quality_High,Video Quality_Low,Video Quality_Medium,Duration_long,Duration_medium,Duration_short,Premiered or Not_No,Premiered or Not_Yes,Popularity
19,0.0002069659470407,0.0001111941490132,0.000204081632653,0.0,0.0001595241893433,0.002932551319648,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,Popular
20,0.0231322633895706,0.0093035380808817,0.0224489795918367,0.0357142857142857,0.0002547625113393,0.002932551319648,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,Popular
21,0.0013268874348432,0.0021193930659311,0.0185918367346938,0.0,3.333341269860166e-05,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
22,0.0096001517903183,0.0003008216867636,3.8775510204081634e-05,0.0714285714285714,0.0009095259750618,0.0058651026392961,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
23,0.0137613580205968,0.0043394753227233,0.0044285714285714,0.0,0.0006000014285748,0.002932551319648,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
24,0.0071755119396048,0.0042035486289795,0.0,0.1071428571428571,0.0001571432312934,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
25,0.0063236114515163,0.0050230253712801,0.0007959183673469,0.0357142857142857,0.0001952385600918,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
26,0.0007174509318261,0.0001647724819394,0.0008775510204081,0.1071428571428571,0.0002023814342415,0.0058651026392961,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
27,0.000684685528438,8.14707911469324e-05,0.0006938775510204,0.0,2.8571496598801422e-05,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,Popular
28,0.0992790608633291,0.352539960016438,6.326530612244899e-05,0.0714285714285714,0.0043119150283691,0.0058651026392961,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
29,0.1686106544323792,0.0609224974321229,0.0346938775510204,0.0,0.0049119164569439,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,Popular
30,0.1716906023508534,0.3938769398818583,0.3673469387755102,0.1071428571428571,0.0006095252607744,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,Popular
31,0.1686106544323792,0.0006364053997647,0.0346938775510204,0.0357142857142857,0.0018119090759739,0.002932551319648,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,Popular
32,0.3407600838330369,0.2427997074395752,0.0816326530612245,0.0,0.0017309565022773,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
33,0.0034730213567586,0.002646167517804,0.002,0.0,0.0002523815532894,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
34,0.0491479936796585,0.0233873428424899,0.0326530612244898,0.0,0.0003785723299341,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
35,9.56749778930185e-07,3.9075484375730024e-08,1.2244897959183673e-07,0.0,0.0001547622732435,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Not Popular
36,9.720184569090024e-05,0.0001242707633547,1.4040816326530612e-05,0.1071428571428571,0.0001238098185948,0.0087976539589442,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
37,0.0010745938287555,0.0005209501915096,0.0001571428571428,0.0,0.0008309543594151,0.002932551319648,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
38,0.0396460266971327,0.0503367197841271,0.0045510204081632,0.0,0.0068357305612632,0.002932551319648,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
39,0.0095346209835423,0.0052340572430684,0.0004897959183673,0.0,0.0330929359355617,0.0410557184750733,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,Popular
40,0.0018478573487128,0.0003278364075476,0.0005918367346938,0.0,0.0015380989002354,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
41,0.0022934668347898,0.0041624612394855,0.0002020408163265,0.0,0.00119047902495,0.0351906158357771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,Popular
42,0.0553734203233823,0.2074105062286185,0.0004489795918367,0.1071428571428571,0.0330929359355617,0.1231671554252199,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Popular
43,0.0081912394446334,0.0096759903312503,0.0018163265306122,0.0,0.0005523822675768,0.002932551319648,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,Popular
44,0.0311597872196355,0.0008892991385453,0.0088571428571428,0.0,2.380958049900119e-05,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,Popular
45,0.0025424839005388,4.753368403487731e-10,0.0033877551020408,0.0,0.3952366553253698,0.0410557184750733,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,Popular
46,0.0249343605759117,0.0063892531414086,0.0035918367346938,0.0,0.0001023811961457,0.0087976539589442,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
47,0.1556355546907236,0.3621830654965359,0.0306122448979591,0.1071428571428571,0.0010119071712075,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,Popular
48,0.0668413115091893,0.0034475951330958,2.2448979591836737e-05,0.0,0.010892883078293,0.2023460410557184,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
49,0.0014939909921221,0.0004110320423028,0.0001653061224489,0.0,0.0002261910147405,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
50,0.0039317370041908,0.0017934656111342,7.530612244897959e-06,0.0,0.0008285734013652,0.0087976539589442,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,Not Popular
51,0.0468544154424971,0.0056383385375841,0.0015102040816326,0.1071428571428571,0.0026142919387903,0.0263929618768328,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
52,0.0593052687299447,0.1207534261992467,0.0151224489795918,0.1071428571428571,0.0007500017857185,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
53,0.0317495644806198,0.0446670127758332,0.0006326530612244,0.0,0.0081785909014069,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
54,0.0357469436939583,0.0022741746944721,0.0004081632653061,0.1071428571428571,0.0011095264512534,0.002932551319648,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
55,0.0002492333174113,0.0001888521375392,0.0346938775510204,0.0714285714285714,0.0001309526927445,0.0146627565982404,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
56,0.0034074905499825,0.0033410100178525,0.0026734693877551,0.1071428571428571,0.0052571553741794,0.0146627565982404,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
57,0.0315857374636797,0.0277540237337387,0.0127959183673469,0.0,0.001404765249441,0.0117302052785923,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
58,0.0432502210698149,0.0477702370491948,0.0179591836734693,0.0714285714285714,0.001261907766447,0.002932551319648,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
59,0.0,2.681319194426211e-07,2.653061224489796e-07,0.3928571428571428,6.666682539720333e-05,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Not Popular
60,0.0940365963212459,0.0573776374487444,0.0408163265306122,0.1071428571428571,0.0003476198752854,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
61,0.0004684338660771,0.0004651719018228,1.859183673469388e-05,0.0,0.0014023842913911,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
62,0.0005077523501427,0.0001714539563723,4.183673469387755e-06,0.0,0.0006047633446746,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Not Popular
