,Video Views,Creator Gender,Language of the Video,Video Description,Video Quality,Duration,Premiered or Not,Total Channel Subcribers,Total Chanel Views,No of Likes,Hashtags,No of Videos the Channel,Community Engagement (Posts per week)
40,696197,Male,English,Yes,Medium,long,No,0.0018478573487128109,0.00032783640754769445,0.0005918367346938776,0.0,0.0015380989002354768,0.0
41,626871,Female,Telugu,Yes,High,long,Yes,0.002293466834789883,0.0041624612394855235,0.00020204081632653063,0.0,0.0011904790249500593,0.03519061583577712
42,1345202,Org,English,Yes,High,medium,No,0.05537342032338234,0.20741050622861854,0.0004489795918367347,0.10714285714285714,0.0330929359355617,0.12316715542521994
43,2443779,Male,Telugu,Yes,High,long,No,0.008191239444633491,0.009675990331250335,0.001816326530612245,0.0,0.0005523822675768276,0.002932551319648094
44,8883607,Male,Hindi,Yes,Medium,medium,Yes,0.031159787219635537,0.0008892991385453931,0.008857142857142857,0.0,2.380958049900119e-05,0.0
45,4238915,Org,English,Yes,Medium,long,Yes,0.0025424839005388352,4.753368403487731e-10,0.0033877551020408164,0.0,0.39523665532536983,0.04105571847507331
46,3762579,Male,Tamil,Yes,Medium,medium,No,0.02493436057591173,0.006389253141408666,0.0035918367346938775,0.0,0.00010238119614570511,0.00879765395894428
47,45332993,Female,English,Yes,Medium,short,Yes,0.15563555469072365,0.3621830654965359,0.030612244897959186,0.10714285714285714,0.0010119071712075503,0.0
48,76310,Org,English,Yes,Medium,short,No,0.06684131150918936,0.0034475951330958654,2.2448979591836737e-05,0.0,0.010892883078293045,0.20234604105571846
49,11034838,Male,English,Yes,Medium,long,No,0.0014939909921221945,0.0004110320423028042,0.0001653061224489796,0.0,0.00022619101474051132,0.0
50,12288,Org,English,Yes,Medium,short,Yes,0.003931737004190885,0.0017934656111342998,7.5306122448979594e-06,0.0,0.0008285734013652414,0.00879765395894428
51,3556375,Org,English,Yes,Medium,short,No,0.04685441544249713,0.0056383385375841045,0.0015102040816326531,0.10714285714285714,0.0026142919387903306,0.026392961876832845
52,65010839,Male,English,Yes,Medium,short,No,0.059305268729944745,0.12075342619924677,0.015122448979591837,0.10714285714285714,0.0007500017857185375,0.0
53,1049688,Org,English,Yes,Medium,medium,No,0.03174956448061989,0.04466701277583323,0.0006326530612244898,0.0,0.008178590901406909,0.0
54,1342429,Female,English,Yes,Medium,medium,No,0.03574694369395834,0.0022741746944721993,0.00040816326530612246,0.10714285714285714,0.0011095264512534554,0.002932551319648094
55,2801403,Org,English,Yes,Medium,medium,No,0.00024923331741131323,0.00018885213753929515,0.03469387755102041,0.07142857142857142,0.00013095269274450655,0.01466275659824047
56,7728343,Org,English,Yes,Medium,long,No,0.0034074905499825643,0.003341010017852573,0.0026734693877551023,0.10714285714285714,0.005257155374179462,0.01466275659824047
57,25799360,Female,English,Yes,Medium,short,No,0.03158573746367979,0.02775402373373875,0.01279591836734694,0.0,0.00140476524944107,0.011730205278592375
58,56385391,Male,Hindi,Yes,Medium,short,No,0.04325022106981492,0.04777023704919482,0.017959183673469388,0.07142857142857142,0.001261907766447063,0.002932551319648094
59,766,Male,Hindi,Yes,Medium,short,No,0.0,2.681319194426211e-07,2.653061224489796e-07,0.39285714285714285,6.666682539720333e-05,0.0
60,21175732,Male,Hindi,Yes,Medium,long,No,0.09403659632124599,0.05737763744874443,0.04081632653061225,0.10714285714285714,0.00034761987528541735,0.0
61,22966,Org,English,Yes,Medium,short,No,0.00046843386607716726,0.00046517190182286753,1.8591836734693877e-05,0.0,0.0014023842913911699,0.0
